nr;category;function;ct1;ct2;jct;cto;path_ct1;path_ct2;path_jct;path_cto
310;10) Lernhilfen und Visualisierungen;ElGamal-Visualisierung;;;D;;;;[D] Visualisierungen\ ElGamal-Kryptosystem;
311;10) Lernhilfen und Visualisierungen;Elliptische Kurvenberechnung-Visualisierung;X;;D;;Einzelverfahren\ Zahlentheorie interaktiv\ Punktaddition auf Elliptischen Kurven…;;[D] Visualisierungen\ Elliptische Kurven Berechnungen;
312;10) Lernhilfen und Visualisierungen;Enigma-Visualisierung;X;C;;;Einzelverfahren\ Visualisierung von Algorithmen\ Enigma…;[K] Klassische Verfahren\ Enigma;;
313;10) Lernhilfen und Visualisierungen;Erweiterter Euklid mit Wechselwegnahme-Visualisierung;;;D;;;;[D] Visualisierungen\ Erweiterter Euklid;
314;10) Lernhilfen und Visualisierungen;Feige Fiat Shamir-Visualisierung;;;D;;;;[D] Visualisierungen\ Feige Fiat Shamir;
315;10) Lernhilfen und Visualisierungen;Fiat Shamir-Visualisierung;;;D;;;;[D] Visualisierungen\ Fiat Shamir;
316;10) Lernhilfen und Visualisierungen;Gitterbasierte Kryptographie - GGH;;;;;;Kryptotutorien\ Kryptographie\ GGH;;
317;10) Lernhilfen und Visualisierungen;Gitterbasierte Kryptographie - LWE;;;;;;Kryptotutorien\ Kryptographie\ LWE;;
318;10) Lernhilfen und Visualisierungen;Gitterbasierte Kryptoanalyse - Merkle-Hellman-Knapsack;;;;;;Kryptotutorien\ Kryptoanalyse\ Merkle-Hellmann Knapsack;;
319;10) Lernhilfen und Visualisierungen;Gitterbasierte Kryptoanalyse - RSA (Angriff auf stereotype Nachrichten);;;;;;Kryptotutorien\ Kryptoanalyse\ RSA (Angriff auf stereotype Nachrichten);;
320;10) Lernhilfen und Visualisierungen;Gitterbasierte Probleme - Kürzester Vektor Problem - Gauss;;;;;;Kryptotutorien\ Kürzester Vektor Problem\ Gauss-Algorithmus;;
321;10) Lernhilfen und Visualisierungen;Gitterbasierte Probleme - Kürzester Vektor Problem - LLL;;;;;;Kryptotutorien\ Kürzester Vektor Problem\ LLL-Algorithmus;;
322;10) Lernhilfen und Visualisierungen;Gitterbasierte Probleme - Nächster Vektor Problem;;;;;;Kryptotutorien\ Nächster Vektor Problem\ Finde nächsten Vektor;;
323;10) Lernhilfen und Visualisierungen;Graphenisomorphismen-Visualisierung;;;D;;;;[D] Visualisierungen\ Graphenisomorphie;
324;10) Lernhilfen und Visualisierungen;Grille-Visualisierung;;;D;;;;[D] Visualisierungen\ Grille;
325;10) Lernhilfen und Visualisierungen;Hash-Algorithmen-Visualisierung;X;;;;Einzelverfahren\ Hashverfahren\ Hashwert einer Datei…;;;
326;10) Lernhilfen und Visualisierungen;Homomorphe Verschlüsselung-Visualisierung;;C\T;D;;;[K] Moderne Verfahren\ Asymmetrisch\ Paillier<br/>[T] Kryptographie\ Modern\ Paillier*;[D] Visualisierungen\ Homomorphe Verschlüsselung;
327;10) Lernhilfen und Visualisierungen;Innere Zustände im Data Encryption Standard (DES)-Visualisierung;;;D;;;;[D] Visualisierungen\ Innere Zustände im Data Encryption Standard (DES);
328;10) Lernhilfen und Visualisierungen;Kleptographie-Visualisierung;;;D;;;;[D] Visualisierungen\ Kleptographie;
329;10) Lernhilfen und Visualisierungen;Lösung des diskreten Logarithmus mit Babystep-Giantstep;;;D;;;;[D] Visualisierungen\ Shanks Babystep-Giantstep;
330;10) Lernhilfen und Visualisierungen;Magische Tür-Visualisierung;;;D;;;;[D] Visualisierungen\ Magische Tür;
331;10) Lernhilfen und Visualisierungen;Matrix-Bildschirmschoner-Visualisierung;;;;X;;;;Highlights\ Matrix-Bildschirmschoner
332;10) Lernhilfen und Visualisierungen;Multipartiter Schlüsselaustausch-Visualisierung;;;D;;;;[D] Visualisierungen\ Multipartite Key Exchange;
333;10) Lernhilfen und Visualisierungen;Netzwerk-Empfänger;;K;;;;[K] Werkzeuge\ Daten-Ein-/Ausgabe\ Netzwerk-Empfänger;;
334;10) Lernhilfen und Visualisierungen;Netzwerk-Sender;;K;;;;[K] Werkzeuge\ Daten-Ein-/Ausgabe\ Netzwerk-Sender;;
335;10) Lernhilfen und Visualisierungen;Nihilist-Visualisierung;X;;;;Einzelverfahren\ Visualisierung von Algorithmen\ Nihilist…;;;
336;10) Lernhilfen und Visualisierungen;Oblivious Transfer-Protokoll;;T;;;;[T] Protokolle\ Oblivious Transfer-Protokolle (1 aus n);;
337;10) Lernhilfen und Visualisierungen;Passwortqualität-Visualisierung;X;T\W;;X;Einzelverfahren\ Tools\ Passwort-Qualitätsmesser…<br/>Einzelverfahren\ Tools\ Passwort-Entropie…;[T] Werkzeuge\ Passwortstärke<br/>[W] Start\ Werkzeuge\ Passwort-Stärke;;Highlights\ Passwort-Check
338;10) Lernhilfen und Visualisierungen;PKCS#1-Angriff (Bleichenbacher)-Visualisierung;;N;;;;[N] Kryptotutorien\ Angriff auf PKCS#1\ Angriffe auf PKCS#1\ Bleichenbacher-Angriff;;
339;10) Lernhilfen und Visualisierungen;PKCS#1-Angriff (Kühn)-Visualisierung;;N;;;;[N] Kryptotutorien\ Angriff auf PKCS#1\ Angriffe auf PKCS#1\ Angriff mit kürzeren Schlüsseln (Kühn);;
340;10) Lernhilfen und Visualisierungen;Public-Key-Infrastruktur;;;D;;;;[D] Visualisierungen\ Public-Key-Infrastruktur;
341;10) Lernhilfen und Visualisierungen;PRESENT-Visualisierung;;K;;;;[K] Moderne Verfahren\ Symmetrisch\ PRESENT;;
342;10) Lernhilfen und Visualisierungen;RSA-Visualisierung;X;;D;;Einzelverfahren\ RSA-Kryptosystem\;;[D] Visualisierungen\ RSA-Kryptosystem;
343;10) Lernhilfen und Visualisierungen;SAT-Solver;;K\T;;;;[K] Werkzeuge\ Sonstige\ SAT-Solver<br/>[T] Mathematisch\ SAT-Solver;;
344;10) Lernhilfen und Visualisierungen;Shamir's Secret Sharing-Visualisierung;X;;D;;Einzelverfahren\ Secret-Sharing-Demo (nach Shamir)…;;[D] Visualisierungen\ Shamir's Secret Sharing;
345;10) Lernhilfen und Visualisierungen;Sichere E-Mail (S/MIME)-Visualisierung;X;;;;Einzelverfahren\ Protokolle\ Sichere E-Mail mit S/MIME…;;;
346;10) Lernhilfen und Visualisierungen;Signatur-Verifikation;;;D;;;;[D] Visualisierungen\ Signatur-Verifikation;
347;10) Lernhilfen und Visualisierungen;Simple Power Analysis-Visualisierung;;;D;;;;[D] Visualisierungen\ Simple Power Analysis / Square and Multiply;
348;10) Lernhilfen und Visualisierungen;SSL/TLS-Handshake;;;D;;;;[D] Visualisierungen\ SSL/TLS-Handshake;
349;10) Lernhilfen und Visualisierungen;Verifiable Secret Sharing (VSS)-Visualisierung;;;D;;;;[D] Visualisierungen\ Verifiable-Secret-Sharing;
350;10) Lernhilfen und Visualisierungen;Vigenère-Visualisierung;X;;;;Einzelverfahren\ Visualisierung von Algorithmen\ Vigenère…;;;
351;10) Lernhilfen und Visualisierungen;Virtuelle Smartcard;;K\T;;;;[K] Protokolle\ Smartcard<br/>[T] Protokolle\ Kommunikation mit einer Smartcard;;
352;10) Lernhilfen und Visualisierungen;Viterbi-Visualisierung;;;D;;;;[D] Visualisierungen\ Viterbi;
353;10) Lernhilfen und Visualisierungen;Yao's Millionärs-Problem;;T;;;;[T] Protokolle\ Yao's Millionärs-Problem;;
354;10) Lernhilfen und Visualisierungen;Zahlentheorie;X;N;;;Einzelverfahren\ Zahlentheorie interaktiv\;[N] Kryptotutorien\ Die Welt der Primzahlen\ Zahlentheorie\ Potenzieren<br/>[N] Kryptotutorien\ Die Welt der Primzahlen\ Zahlentheorie\ Zahlentheoretische Funktionen<br/>[N] Kryptotutorien\ Die Welt der Primzahlen\ Zahlentheorie\ Primitivwurzeln<br/>[N] Kryptotutorien\ Die Welt der Primzahlen\ Verteilung der Primzahlen\ Goldbach-Vermutung;;
355;10) Lernhilfen und Visualisierungen;Zero Knowledge-Protokoll;;T;;;;[T] Protokolle\ Zero Knowledge-Protokoll;;
356;10) Lernhilfen und Visualisierungen;Zufall-Visualisierung;X;;;;Analyse\ Zufallsanalyse\ 3D-Visualisierung…;;;
358;11) Spiele;Sudoku-Löser;;;D;;;;[D] Spiele\ Sudoku-Solver;
359;11) Spiele;Teilerspiel;;;D;;;;[D] Spiele\ Teilerspiel;
360;11) Spiele;Zahlenhai;X;;D;X;Einzelverfahren\ Lernspiele\ Der Zahlenhai;;[D] Spiele\ Zahlenhai;Highlights\ Zahlenhai
361;11) Spiele;Zudo-Ku (Zero-Knowledge Proof);;;D;;;;[D] Spiele\ Zudo-Ku;
363;12) Primzahlen;Faktorisierung einer Zahl;X;K\T\W\N;;;Einzelverfahren\ RSA-Kryptosystem\ Faktorisieren einer Zahl…\ Brute-Force<br/>Einzelverfahren\ RSA-Kryptosystem\ Faktorisieren einer Zahl…\ Brent<br/>Einzelverfahren\ RSA-Kryptosystem\ Faktorisieren einer Zahl…\ Pollard<br/>Einzelverfahren\ RSA-Kryptosystem\ Faktorisieren einer Zahl…\ Williams<br/>Einzelverfahren\ RSA-Kryptosystem\ Faktorisieren einer Zahl…\ Lenstra<br/>Einzelverfahren\ RSA-Kryptosystem\ Faktorisieren einer Zahl…\ Quadratisches Sieb;[K] Kryptoanalyse\ Generisch\ Faktorisierer<br/>[K] Kryptoanalyse\ Generisch\ Quadratisches Sieb (QS)<br/>[T] Mathematisch\ Faktorisierung mit Probedivision (brute-force)<br/>[T] Mathematisch\ Faktorisierung mit allgemeinem Zahlkörper-Sieb (GNFS)<br/>[W] Start\ Mathematische Funktionen\ Primfaktorzerlegung<br/>[N] Kryptotutorien\ Die Welt der Primzahlen\ Faktorisierung\ Probedivision<br/>[N] Kryptotutorien\ Die Welt der Primzahlen\ Quadratisches Sieb (QS);;
364;12) Primzahlen;Generierung von Primzahlen;X;K\T\W\N;;;Einzelverfahren\ RSA-Kryptosystem\ Primzahlen generieren…\ Miller-Rabin-Test<br/>Einzelverfahren\ RSA-Kryptosystem\ Faktorisieren einer Zahl…\ Solovay-Strassen-Test<br/>Einzelverfahren\ RSA-Kryptosystem\ Faktorisieren einer Zahl…\ Fermat-Test;[K] Werkzeuge\ Daten-Ein-/Ausgabe \ Primzahlgenerator<br/>[T] Mathematisch\ Primzahlgenerator<br/>[W] Start\ Mathematische Funktionen\ Primzahl-Operationen\ Primzahl-Erzeugung<br/>[N] Kryptotutorien\ Die Welt der Primzahlen\ Erzeugung von Primzahlen\ Erzeugung von Primzahlen;;
365;12) Primzahlen;Primzahl-Test;X;K\T\W\N;;;Einzelverfahren\ RSA-Kryptosystem\ Primzahltest…\ Miller-Rabin-Test<br/>Einzelverfahren\ RSA-Kryptosystem\ Primzahltest…\ Fermat-Test<br/>Einzelverfahren\ RSA-Kryptosystem\ Primzahltest…\ Solovay-Strassen-Test<br/>Einzelverfahren\ RSA-Kryptosystem\ Primzahltest…\ AKS-Test (deterministisches Verfahren);[K] Kryptoanalyse\ Generisch\ Primzahltest<br/>[T] Mathematisch\ Primzahltest<br/>[W] Start\ Mathematische Funktionen\ Primzahl-Operationen\ Primzahl-Test<br/>[N] Kryptotutorien\ Die Welt der Primzahlen\ Primzahltests\ Sieb des Erastosthenes<br/>[N] Kryptotutorien\ Die Welt der Primzahlen\ Primzahltests\ Miller-Rabin-Test<br/>[N] Kryptotutorien\ Die Welt der Primzahlen\ Primzahltests\ Sieb des Atkin;;
366;12) Primzahlen;Primzahl-Tutorial;X;N;;;Einzelverfahren\ RSA-Kryptosystem\ Primzahltest…<br/>Einzelverfahren\ RSA-Kryptosystem\ Primzahlen generieren...<br/>Einzelverfahren\ RSA-Kryptosystem\ Faktorisieren einer Zahl…;[N] Kryptotutorien\ Die Welt der Primzahlen;;
367;12) Primzahlen;Primzahl-Eigenschaften;;N;;;;[N] Kryptotutorien\ Die Welt der Primzahlen\ Verteilung der Primzahlen\ Zahlengerade<br/>[N] Kryptotutorien\ Die Welt der Primzahlen\ Verteilung der Primzahlen\ Zahlengitter<br/>[N] Kryptotutorien\ Die Welt der Primzahlen\ Verteilung der Primzahlen\ Anzahl der Primzahlen<br/>[N] Kryptotutorien\ Die Welt der Primzahlen\ Verteilung der Primzahlen \ Ulam-Spirale;;
369;13) Protokolle;Authentifizierungsverfahren im Netz-Visualisierung;X;;;;Einzelverfahren\ Protokolle\ Authentifizierungsverfahren im Netz…;;;
370;13) Protokolle;BB84-Schlüsselaustausch;;T;;;;[T] Protokolle\ BB84-Schlüsselaustausch;;
371;13) Protokolle;BB84-Schlüsselaustausch mit Lauschangriff;;T;;;;[T] Protokolle\ BB84-Schlüsselaustausch mit Lauschangriff;;
372;13) Protokolle;Bit-Commitment-Protokoll;;K\T;;;;[K] Protokolle\ Bit-Commitment-Protokoll<br/>[T] Mathematisch\ ISAP Bit-Commitment-Protokoll;;
374;13) Protokolle;Coin Flipping-Protokoll;;T;;;;[T] Protokolle\ Coin Flipping-Protokoll;;
375;13) Protokolle;Diffie-Hellman-Schlüsselaustausch (Perfect Forward Secrecy)-Visualisierung;X;;D;;Einzelverfahren\ Protokolle\ Diffie-Hellman-Demo…;;[D] Visualisierungen\ Diffie-Hellman Schlüsselaustausch (EC);
376;13) Protokolle;Dining Cryptographers-Protokoll;;T;;;;[T] Protokolle\ Dining Cryptographers-Protokoll;;
377;13) Protokolle;Oblivious Transfer-Protokoll;;T;;;;[T] Protokolle\ Oblivious Transfer-Protokolle (1 aus n);;
378;13) Protokolle;Shamir's Secret Sharing-Visualisierung;X;;D;;Einzelverfahren\ Secret-Sharing-Demo (nach Shamir)…;;[D] Visualisierungen\ Shamir's Secret Sharing;
379;13) Protokolle;Sichere E-Mail (S/MIME)-Visualisierung;X;;;;Einzelverfahren\ Protokolle\ Sichere E-Mail mit S/MIME…;;;
380;13) Protokolle;Virtuelle Smartcard;;K\T;;;;[K] Protokolle\ Smartcard<br/>[T] Protokolle\ Kommunikation mit einer Smartcard;;
381;13) Protokolle;Wired Equivalent Privacy (WEP);;K;;;;[K] Protokolle\ WEP-Protokoll;;
382;13) Protokolle;Yao's Millionärs-Problem;;T;;;;[T] Protokolle\ Yao's Millionärs-Problem;;
383;13) Protokolle;Zero Knowledge-Protokoll;;T;;;;[T] Protokolle\ Zero Knowledge-Protokoll;;
